,ISBN,bookTitle,yearOfPublication,publisher
94796,812510011,N-Space,1991,Tor Science Fiction
94800,671036610,The Burning City,2001,Pocket
94804,345316754,Ringworld,1983,Ballantine Books
94808,312867263,Saturn's Race,2000,St Martins Pr
94812,671828029,OATH OF FEALTY,1982,Pocket
94816,345334183,The Flight of the Horse,1976,Del Rey Books
94820,345323475,Footfall,1985,Ballantine Books
94824,345306341,Ringworld,1982,Del Rey Books
94828,671462148,Inferno,1982,Pocket
94832,671497669,INFERNO,1983,Pocket
94836,345353129,Protector,1992,Del Rey Books
94840,765301377,Scatterbrain,2003,Tor Books
94844,671721372,Man Kzin Wars V,1992,Baen
94848,345418409,Ringworld: A Novel,1997,Del Rey Books
94852,708883788,LEGACY OF HEOROT,1996,Time Warner Books UK
94860,345245091,Gift From Earth,1987,Ballantine Books
94864,312850999,Achilles' Choice,1991,St Martins Pr
94868,345345088,World of Ptavvs,1989,Del Rey Books
94872,932096093,Dream park,1981,Phantasia Press
94876,671876074,MAN-KZIN WARS VI : MAN-KZIN WARS VI,1994,Baen
94880,441167306,Dream Park,2003,Ace Books
94884,671720368,MAN KZIN WARS II,1990,Baen
94888,067172035X,MAN-KZIN WARS,1990,Baen
94892,345304691,Ringworld Engineers,1981,Del Rey Books
94896,30206561,Ringworld: A Novel,1977,Henry Holt  Co
94900,345316762,Ringworld Engineers,1981,Del Rey Books
94904,345300548,World of Ptavvs,1981,Ballantine Books
94908,345336941,Neutron Star,1996,Del Rey Books
94912,441653170,The Patchwork Girl,1984,Ace Books
94916,312850891,N-Space,1990,St Martins Pr
94920,345404483,Three Books of Known Space,1996,Del Rey Books
94924,441515460,The magic goes away,1979,Ace Books
94928,786123907,Protector: Library Edition,2003,Blackstone Audiobooks
94932,345350510,Gift from Earth,1987,Del Rey Books
94936,345334698,Tales of Known Space: The Universe of Larry Niven,1992,Del Rey Books
94940,345342380,The Long Arm of Gil Hamilton,1990,Del Rey Books
94944,3404242602,Die StraÃ?Â?e.,1999,LÃ?Â¼bbe
94948,345421396,Lucifer's Hammer,1998,Del Rey Books
94952,345245636,Tales of Known Space,1975,Ballantine Books
94956,3453188012,Stadt des Feuers.,2001,Heyne
94960,671720767,The Man-Kzin Wars,1991,Baen
94964,9991702156,Oath of Fealty,1981,Phantasia Pr
94968,345296656,Neutron Star,1981,Ballantine Books
94972,345276272,Tales of Known Space,0,Ballantine Books
94976,156865054X,Mote in God's Eye,1993,Doubleday Books
94980,312852193,Playgrounds of the Mind,1991,St Martins Pr
94984,671670557,Inferno,1988,Pocket Books
94988,345247787,Protector,1975,Ballantine Books
94992,449204294,Lucifer's Hammer,1983,Not Avail
94996,3404242580,Brennans Legende. Abenteuer aus dem Ringweltuniversum.,1999,LÃ?Â¼bbe
95000,441167268,Dream Park,1981,Ace Books
95004,345337778,A Hole in Space,1990,Del Rey Books
95008,345418417,The Ringworld Engineers,1997,Ballantine Books
95012,671876708,MAN-KZIN WARS VII : MAN-KZIN WARS VII,1995,Baen
95016,076534047X,Scatterbrain,2004,Tor Books
95020,042507059x,More Magic,1984.0,Berkley Pub Group
95024,441048862,Barbary,1993,Ace Books
95026,671632663,VOYAGE HOME ST 4 M,1986,Star Trek
95028,671625810,Enterprise: The First Adventure,1987,Star Trek
95030,671531360,SUPERLUMINAL,1984,Pocket
95032,671567659,The MOON AND THE SUN,1997,Atria
95034,671724169,ENTROPY EFFECT (CLASSIC STAR TREK 2) (Star Trek (Numbered Paperback)),1990,Star Trek
95036,671674269,STAR TREK II: WRATH OF KHAN,1988,Star Trek
95038,067165912X,ENTERPRISE,1988,Star Trek
95040,553571745,The Crystal Star (Star Wars (Random House Paperback)),1995,Spectra Books
95042,553089293,The Crystal Star (Star Wars),1994,Bantam Dell Pub Group
95044,671567667,The MOON AND THE SUN,1998,Pocket Books
95046,441780539,Starfarers,1989,Ace Books
95048,671730320,ENTERPRISE (CLASSIC STAR TREK ) (Star Trek),1990,Star Trek
95050,671702831,Star Trek IV The Voyage Home (Star Trek),1989,Star Trek
95052,553292234,Metaphase,1994,Spectra Books
95054,553563416,Starfarers,1994,Spectra Books
95056,553296590,Dreamsnake,1994,Bantam
95058,671664999,ENTROPY EFFECT - STAR TREK #2 (Star Trek (Numbered Paperback)),1987,Star Trek
95060,525665277,The Crystal Ship:  Three Original Novellas of Science Fiction,1977,E P Dutton
95062,586064427,Star Trek III: the Search for Spock,1987,HarperCollins Publishers
95064,3453108019,Star Wars. Der Kristallstern.,1996,Heyne
95066,671493000,ENTROPY EFFECT (Star Trek (Numbered Paperback)),1983,Star Trek
95068,586073183,The Voyage Home,1987,HarperCollins Publishers
95070,395264707,Dreamsnake,1978.0,Houghton Mifflin
95072,451450876,Shadowrun: Choose Your Enemies Carefully (Shadowrun (Roc)),1996,Roc
95073,451453727,Just Compensation (Shadowrun),1996,Roc
95074,446600377,A Prince Among Men,1994,Warner Books Inc
95075,140175431,Shadowrun (Roc S.),1993,RoC
95076,446600385,A King Beneath the Mountain,1995,Warner Books
95077,61054984,Timespell: First Chronicle of Aelwyn (Chronicle of Aelwyn),1996,HarperPrism
95078,140152393,Shadowrun (Roc S.),1991,RoC
95079,61054992,Eye of the Serpent (Chronicle of Aelwyn),1996,Harper Mass Market Paperbacks (Mm)
95080,451459954,Wolf and Raven (Shadowrun (Roc)),1998,Roc
95081,1569714649,Union (Star Wars),2000,Dark Horse Comics
95082,451453832,Lethal Heritage (Battletech),1995,Roc
95083,451453859,Lost Destiny (Battletech Blood of Kerensky Triology (Paperback)),1995,Roc
95084,451453840,Blood Legacy (Battletech Blood of Kerensky Triology (Paperback)),1995,Roc
95085,553576569,Talion: Revenant,1997,Bantam
95086,61056812,An Enemy Reborn (Realms of Chaos: The Second Book),1998,Eos
95087,553561138,Eyes of Silver,1998,Bantam
95088,451456130,The Twilight of the Clans II: Grave Covenant (Battletech 34),1997,Roc
95089,055356112X,Once a Hero,1994,Bantam
95090,61056804,A Hero Born (Realms of Chaos: The First Book),1997,Eos
95091,3442247667,Star Wars. X- Wing. Die Mission der Rebellen.,1997,Goldmann
95092,671023187,Term Limits,1999,Pocket Star
95094,671047329,The Third Option,2001,Pocket Star
95096,671047345,Separation of Power,2002,Pocket
95098,671023209,Transfer of Power,2000,Pocket Star
95100,671047337,Separation of Power (Mitch Rapp Novels),2001,Atria
95102,671023179,TERM LIMITS,1998,Atria
95104,743453964,Executive Power,2004,Pocket Star
95106,671582259,Term Limits,1998,Simon  Schuster Audio
95108,743509307,Separation Of Power,2001,Simon  Schuster Audio
95110,671047310,The Third Option,2000,Atria
95112,671023195,Transfer Of Power (Mitch Rapp Novels),1999,Atria
95114,743532716,Transfer of Power,2003.0,Encore
95116,395390338,Curious George and the Pizza,1985,Houghton Mifflin
95117,395486572,Curious George at the Railroad Station,1988,Houghton Mifflin Company
95118,395519365,Curious George and the Dinosaur,1989,Houghton Mifflin
95119,395390389,Curious George goes hiking,1985,Houghton Mifflin
95120,395390311,Curious George at the Fire Station (Curious George),1985,Houghton Mifflin
95121,039555991X,Curious George Goes to an Air Show,1990,Houghton Mifflin
95122,395390354,Curious George Plays Baseball (Curious George),1986,Houghton Mifflin
95123,395366283,Curious George Goes to the Aquarium,1984,Houghton Mifflin
95124,395424755,Curious George Goes to a Costume Party,1986,Houghton Mifflin Company
95125,395486580,Curious George Goes to a Resturant,1988,Houghton Mifflin Company
95126,618065695,Curious George Goes to a Costume Party (Curious George),2001,Houghton Mifflin
95127,618065644,Curious George Goes to a Costume Party (Curious George),2001,Houghton Mifflin
95128,395453682,Curious George at the Airport,1987,Houghton Mifflin Company
95129,395390362,Curious George Visits the Zoo,1985.0,Houghton Mifflin
95130,671876937,Master of Many Treasures,1995,Baen
95131,671876015,Pigs Don't Fly,1994,Baen
95132,671578103,Dragonne's Eg,1999,Baen
95133,671578448,The Unlikely Ones,1999,Baen
95134,70082960,The Unlikely Ones,1986,McGraw-Hill
95135,739405837,The Unexpected Dragon,1999,Science Fiction Book Club
95136,3499431009,Finstere GrÃ?Â¼nde.,1993,Rowohlt Tb.
95137,517707861,Death Is Now My Neighbor: An Inspector Morse Novel,1997,Random House Inc
95138,517799928,Morse's Greatest Mystery: And Other Stories,1995,Random House Inc
95139,804113645,The Daughters of Cain,1996,Fawcett Books
95140,804115729,Death Is Now My Neighbor,1998,Ivy Books
95141,804114897,The Secret of Annexe 3 (Inspector Morse Mysteries (Paperback)),1998,Ivy Books
95142,553291203,The Wench Is Dead,1991,Bantam Books
95143,804114862,The Dead of Jericho (Inspector Morse Mysteries (Paperback)),1997,Ivy Books
95144,330328387,Way Through the Woods,0,Pan Books Ltd
95145,033035034X,Death Is Now My Neighbour,1997,Pan Publishing
95146,804114919,Last Seen Wearing,1997,Ivy Books
95147,1405005041,Morse's Greatest Mystery,2003,Pan Macmillan
95148,553277774,Last Bus To Woodstock,1988,Bantam Books
95149,804114900,Last Bus to Woodstock,1996,Ivy Books
95150,330341634,The Daughters of Cain,1995,Macmillan Pub Ltd
95151,804113092,Morse's Greatest Mystery and Other Stories (Inspector Morse Mysteries (Paperback)),1996,Fawcett Books
95152,333691482,Death Is Now My Neighbour,0,Humanity Press/prometheus Bk
95153,804109818,The Jewel That Was Ours,1993,Fawcett Books
95154,609606220,The Remorseful Day (Inspector Morse Mysteries (Hardcover)),2000,Crown Publishers
95155,333596900,Morse's Greatest Mystery and Other Stories,1993,Macmillan Pub Ltd
95156,330266934,Dead of Jericho,0,Pan Books Ltd
95157,804119546,The Remorseful Day,2001,Fawcett Books
95158,804114870,Silent World of Nicholas Quinn (Inspector Morse Mysteries (Paperback)),1997,Ivy Books
95159,804114889,The Riddle of the Third Mile (Inspector Morse Mysteries (Paperback)),1997,Ivy Books
95160,804118892,The Wench Is Dead (Inspector Morse Mysteries (Paperback)),1999,Fawcett Books
95161,517588471,The Jewel That Was Ours (An Inspector Morse Mystery),1992,Random House Inc
95162,333566874,The second Inspector Morse omnibus,1991,Macmillan
95163,517700670,The Daughters of Cain,1995,Random House Inc
95164,033033560X,Third Inspector Morse Omnibus Uk,0,Pan Books Ltd
95165,679774173,Death Is Now My Neighbor: A Mystery (Random House Large Print),1997,Ballantine Books
95166,055327239X,Service of All the Dead,1988,Bantam Books
95167,3442450144,Ehrensache.,2002,Goldmann
95170,752844059,The Falls (Inspector Rebus S.),2001,Orion mass market paperback
95173,752848224,Resurrection Men (Inspector Rebus S.),2002,Orion mass market paperback
95176,075285111X,A Question of Blood,2003,Orion
95179,075284332X,Bleeding Hearts (A Jack Harvey Novel),2004,Orion mass market paperback
95182,312965141,Strip Jack (Strip Jack),1998,St. Martin's Press
95188,075284413X,Dead Souls (Inspector Rebus S.),2001,Orion mass market paperback
95191,312966776,Black and Blue (Black &amp; Blue),1999,St. Martin's Press
95194,786252049,Resurrection Men (Thorndike Press Large Print Core Series),2003,Thorndike Press
95197,312977891,Set in Darkness (St. Martin's Minotaur Mysteries),2001,St. Martin's Press
95200,312206100,The Falls: An Inspector Rebus Novel,2001,St. Martin's Minotaur
95203,312969139,The Hanging Garden,1999,St. Martin's Minotaur
95206,3442446090,Wolfsmale.,2001,Goldmann
95209,312974205,Dead Souls (St. Martin's Minotaur Mysteries),2000,St. Martin's Press
95212,312958781,Tooth and Nail (Detective John Rebus Novels),1996,St. Martin's Press
95215,312956738,Knots and Crosses (Detective John Rebus Novels),1995,St. Martin's Press
95218,312976755,The Black Book,2000,St. Martin's Minotaur
95221,312960948,Mortal Causes (Dead Letter Mysteries),1997,St. Martin's Press
95224,312963971,Hide and Seek (Dead Letter Mysteries),1997,St. Martin's Press
95227,312966652,Let It Bleed (Let It Bleed),1998,St. Martin's Press
95230,312982402,The Falls : An Inspector Rebus Novel (An Inspector Rufus Novel),2003,St. Martin's Minotaur
95233,752844148,Mortal Causes (Inspector Rebus S.),2001,Orion mass market paperback
95236,075282130X,The Falls,2001,Trafalgar Square
95242,752809431,A Good Hanging (Inspector John Rebus Series),1998,Orion Publishing Group
95251,312280270,A Good Hanging: Short Stories,2002,St. Martin's Minotaur
95254,752821318,Resurrection Men,2002,Orion
95257,075285237X,Beggar's Banquet,2002,Orion
95260,312192789,The Hanging Garden: An Inspector Rebus Novel (Inspector Rebus Series/Ian Rankin),1998,St Martins Pr
95263,752858963,A Question of Blood,2004,Orion mass market paperback
95266,3442453879,Der kalte Hauch der Nacht.,2002,Goldmann
95269,075284332x,Bleeding Hearts (A Jack Harvey Novel),2004,Orion mass market paperback
95272,3442133475,Verborgene Muster / Das zweite Zeichen. Zwei Romane in einem Band.,2003,Goldmann
95275,3442545463,Puppenspiel.,2002,Goldmann
95278,031226142X,Death Is Not the End: An Inspector Rebus Novella (Inspector Rebus Mysteries (Hardcover)),2000,St. Martin's Minotaur
95281,3442446074,Verborgene Muster.,2003,Goldmann
95284,312206097,Set in Darkness: An Inspector Rebus Novel (Inspector Rebus Mysteries (Hardcover)),2000,St. Martin's Minotaur
95287,3442450160,Blutschuld. Ein Inspector- Rebus- Roman.,2003,Goldmann
95290,684830558,LET IT BLEED : A John Rebus Mystery (Detective John Rebus Novels),1996,Simon  Schuster
95293,752818066,Hanging Garden,0,Orion Media
95296,3442446082,Das zweite Zeichen.,2001.0,Goldmann
95299,1590864867,Resurrection Men: An Inspector Rebus Novel,2003.0,Brilliance Audio Library Edition
95302,3442727758,Das letzte Konzert.,2001,Btb Bei Goldmann
95304,425155501,Murder in Grub Street (Sir John Fielding Mysteries (Paperback)),1996,Berkley Publishing Group
95306,425150070,Blind Justice (Sir John Fielding Mysteries (Paperback)),1995,Berkley Publishing Group
95308,425186903,Smuggler's Moon,2002,Berkley Publishing Group
95310,425192814,An Experiment in Treason,2003,Berkley Publishing Group
95312,3442729106,TÃ?Â¶dliche Erbschaft. Ein Richter- Fielding- Roman.,2002,btb
95314,399147748,Smuggler's Moon: A Sir John Fielding Mystery (Sir John Fielding Mysteries (Hardcover)),2001,G. P. Putnam's Sons
95316,399150781,The Price of Murder (Sir John Fielding Mysteries (Hardcover)),2003,G. P. Putnam's Sons
95318,399149236,Experiment in Treason (Sir John Fielding Mysteries (Hardcover)),2002,Putnam Adult
95320,042516036X,Watery Grave (Sir John Fielding Mysteries (Paperback)),1997,Berkley Publishing Group
95322,425182037,The Color of Death (Sir John Fielding Mysteries (Paperback)),2001,Berkley Publishing Group
95324,425165663,Person or Persons Unknown (Sir John Fielding Mysteries (Paperback)),1998,Berkley Publishing Group
95326,425177025,Death of a Colonial,2000,Berkley Publishing Group
95328,399140859,Murder in Grub Street,1995,Putnam Pub Group
95330,399139788,Blind Justice,1994,Putnam Pub Group
95332,2264031468,La Veuve et l'Imposteur,2001,Editions 10/18
95334,3442721075,Die zweite Wahrheit.,1997.0,Btb Bei Goldmann
95336,152017976,Elidor,1999,Magic Carpet Books
95338,152017984,The Owl Service,1999,Magic Carpet Books
95340,6742939,The Weirdstone of Brisingamen,1992,Collins
95342,1860461611,Strandloper,1999,Harvill Press
95344,000671675X,Owl Service,0,William Collins Sons Co Ltd
95346,333315545,The Owl Service (M Books),1982,Nelson Thornes
95348,1845039,The Moon of Gomrath,1983,HarperCollins Publishers
95350,6716032,The Aimer Gate (Fontana Lions),1979,HarperCollins Publishers
95352,6742947,The Owl Service,1997,Collins
95354,1841572,Red Shift,1973,Collins
95356,6742955,Red Shift,1999,Collins
95358,6742912,Elidor,1999,Collins
95360,27358704,Red Shift,1973,Macmillan
95362,7127898,The Owl Service,2002,Collins Voyager
95364,1860464688,The Voice That Thunders: Essays and Lectures,1998,Harvill Press
95366,7127863,Red Shift,2002,Collins Voyager
95368,7127901,A Bag of Moonshine,2002,Collins Voyager
95370,044040763X,Elidor,1993.0,Yearling Books
95372,8806155873,Un Giorno Dopo L'altro,2000,Einaudi
95373,8806143042,Almost blue (Stile libero),1997,Einaudi
95374,8804483385,Isola Dell Caduto,0,Mondadori Italian
95375,8806158848,Laura Di Rimini,0,Einaudi
95376,8838906262,Carta bianca (Memoria),1999,Sellerio
95377,3821829494,Ensel und Krete. Ein MÃ?Â¤rchen aus Zamonien von Hildegunst von Mythenmetz.,2000,Eichborn
95379,3442450179,Ensel und Krete. Ein MÃ?Â¤rchen aus Zamonien von Hildegunst von Mythenmetz.,2002,Goldmann
95381,3442416566,Die 13 1/2 Leben des KÃ?Â¤ptn BlaubÃ?Â¤r.,2001,Goldmann
95383,3492045480,Rumo &amp; Die Wunder Im Dunkeln: Ein Roman in Zwei Buchern,2003,Piper Verlag GmbH
95385,3821818298,Huhu.,1989,Eichborn
95387,3821818271,Hey.,1993,Eichborn
95389,344245381X,Die 13 1/2 Leben Des Kapt'N Blaubar,2003,Distribooks Inc
95391,3821829591,Adolf. Ã?Â?ch bin wieder da..,2001,Eichborn
95393,3821852275,Der FÃ?Â¶nig. Cassette.,2002,Eichborn
95395,3821818255,Aha.,1985,Eichborn
95397,312876912,Humans (Neanderthal Parallax),2003,Tor Books
95400,812580354,Calculating God,2001,Tor Science Fiction
95403,812580346,Flashforward,2000,Tor Science Fiction
95406,441005926,Illegal Alien,1999,Ace Books
95409,812571088,Frameshift,1998,Tor Science Fiction
95412,441004768,Illegal Alien,1997,Ace Books
95415,312867131,Calculating God,2000,Tor Books
95418,812571290,Factoring Humanity,1999,Tor Science Fiction
95421,61053104,The Terminal Experiment,1995,Eos
